player_name,team_name,position,price,total_points,points_per_game,form,minutes,selected_by_percent,expected_goals,expected_assists,expected_goal_involvements,xgi_per_90,value_season
Álvaro Rodríguez,Bournemouth,FWD,6.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
António João Pereira de Albuquerque Tavares da Silva,Bournemouth,DEF,5.0,2,2.0,2.0,90,0.3,0.0,0.0,0.0,0.0,0.4
Juanlu Sánchez,Bournemouth,DEF,4.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Caoimhín Kelleher,Brentford,GK,5.0,7,7.0,7.0,90,5.9,0.0,0.01,0.01,0.01,1.4
Hákon Rafn Valdimarsson,Brentford,GK,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Nathan Collins,Brentford,DEF,5.5,6,6.0,6.0,90,1.9,0.34,0.04,0.38,0.38000000000000006,1.0909090909090908
Sepp van den Berg,Brentford,DEF,5.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Keane Lewis-Potter,Brentford,MID,5.5,10,10.0,10.0,90,0.6,0.77,0.12,0.89,0.8900000000000001,1.8181818181818181
Kristoffer Ajer,Brentford,DEF,4.5,8,8.0,8.0,90,3.6,0.11,0.02,0.13,0.13,1.7777777777777777
Michael Kayode,Brentford,DEF,4.5,13,13.0,13.0,75,4.1,0.5,0.0,0.5,0.6000000000000001,2.888888888888889
Rico Henry,Brentford,DEF,4.5,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Aaron Hickey,Brentford,DEF,4.5,1,1.0,1.0,14,0.1,0.0,0.0,0.0,0.0,0.2222222222222222
Ethan Pinnock,Brentford,DEF,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Kim Ji-soo,Brentford,DEF,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Schuster,Brentford,DEF,4.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Kevin Schade,Brentford,MID,6.0,3,3.0,3.0,90,3.6,0.52,0.01,0.53,0.53,0.5
Dango Ouattara,Brentford,MID,6.5,3,3.0,3.0,66,1.2,0.05,0.29,0.34,0.4636363636363637,0.46153846153846156
Mikkel Damsgaard,Brentford,MID,5.5,1,1.0,1.0,14,0.6,0.0,0.11,0.11,0.7071428571428572,0.18181818181818182
Mathias Jensen,Brentford,MID,5.5,6,6.0,6.0,66,0.2,0.08,0.34,0.42,0.5727272727272726,1.0909090909090908
Vitaly Janelt,Brentford,MID,5.0,9,9.0,9.0,90,0.2,0.39,0.17,0.56,0.56,1.8
Antoni Milambo,Brentford,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Freitas Gouveia Carvalho,Brentford,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yehor Yarmoliuk,Brentford,MID,5.0,1,1.0,1.0,23,1.3,0.04,0.0,0.04,0.1565217391304348,0.2
Josh Dasilva,Brentford,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Jaidon Anthony,Brentford,MID,6.0,1,1.0,1.0,23,0.2,0.03,0.35,0.38,1.4869565217391303,0.16666666666666666
Igor Thiago Nascimento Rodrigues,Brentford,FWD,8.0,0,0.0,0.0,82,17.2,1.0,0.08,1.08,1.1853658536585368,0.0
Kaye Furo,Brentford,FWD,4.5,0,0.0,0.0,0,0.9,0.0,0.0,0.0,0.0,0.0
Callum Wilson,Brentford,FWD,5.5,1,1.0,1.0,7,0.4,0.03,0.04,0.07,0.9,0.18181818181818182
Mamadou Sangaré,Brentford,MID,5.5,14,14.0,14.0,75,4.2,0.05,0.33,0.38,0.45599999999999996,2.5454545454545454
Bart Verbruggen,Brighton,GK,4.5,6,6.0,6.0,90,21.7,0.0,0.0,0.0,0.0,1.3333333333333333
Jason Steele,Brighton,GK,4.0,0,0.0,0.0,0,4.1,0.0,0.0,0.0,0.0,0.0
Ferdi Kadıoğlu,Brighton,DEF,4.5,0,0.0,0.0,0,2.8,0.0,0.0,0.0,0.0,0.0
Olivier Boscagli,Brighton,DEF,4.5,6,6.0,6.0,90,0.2,0.0,0.04,0.04,0.04,1.3333333333333333
Maxim De Cuyper,Brighton,DEF,4.5,17,17.0,17.0,77,2.3,1.4,0.18,1.58,1.8467532467532468,3.7777777777777777
Lewis Dunk,Brighton,DEF,4.5,6,6.0,6.0,90,1.1,0.0,0.04,0.04,0.04,1.3333333333333333
Diego Coppola,Brighton,DEF,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Igor Julio dos Santos de Paulo,Brighton,DEF,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
João Pedro Loureiro da Costa,Brighton,DEF,4.5,1,1.0,1.0,26,0.0,0.08,0.0,0.08,0.27692307692307694,0.2222222222222222
Michael Svoboda,Brighton,DEF,5.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Mitoma Kaoru,Brighton,MID,6.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yankuba Minteh,Brighton,MID,6.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Jack Hinshelwood,Brighton,MID,6.0,16,16.0,16.0,63,0.8,1.41,0.02,1.43,2.0428571428571427,2.6666666666666665
Pascal Groß,Brighton,MID,5.5,2,2.0,2.0,90,14.1,0.0,0.25,0.25,0.25,0.36363636363636365
Georginio Rutter,Brighton,FWD,5.5,5,5.0,5.0,90,0.9,0.07,0.44,0.51,0.51,0.9090909090909091
Matt O'Riley,Brighton,MID,5.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Diego Gómez Amarilla,Brighton,MID,5.0,6,6.0,6.0,85,3.9,0.19,0.48,0.67,0.7094117647058823,1.2
Facundo Buonanotte,Brighton,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yasin Ayari,Brighton,MID,5.5,2,2.0,2.0,63,0.7,0.11,0.03,0.14,0.2,0.36363636363636365
Mats Wieffer,Brighton,DEF,5.0,7,7.0,7.0,77,0.3,0.07,0.05,0.12,0.14025974025974025,1.4
